Data,Crude_Oil_NYMEX,SMR_20_US,Rate,Butadiene
7/12/2014,200.5,106.04,30.02,1505
7/19/2014,202.9,106.85,30.05,1555
7/26/2014,199.5,107.51,30.04,1625
8/2/2014,200,104,30.03,1565
8/9/2014,190.1,104.22,29.99,1491
8/16/2014,180.3,102.21,29.97,1369
8/23/2014,182.8,101.52,30.03,1359
8/30/2014,179.8,102.31,30.17,1429
9/6/2014,174.6,100.27,30.26,1509
9/13/2014,164,96.76,30.46,1540
9/20/2014,163,97.57,30.47,1535
9/27/2014,156,96.18,30.42,1450
10/4/2014,152.7,91.53,30.4,1395
10/11/2014,156,89.56,30.4,1295
10/18/2014,163.1,85.68,30.58,1095
10/25/2014,171.5,86.09,30.71,1040
11/1/2014,170.8,85.13,30.87,1055
11/8/2014,164.8,83.36,30.98,1080
11/15/2014,166,78.14,31.15,1070
11/22/2014,160.6,79.73,31.28,1040
11/29/2014,157,70.97,31.38,1010
12/6/2014,155.1,67.25,31.73,1005
12/13/2014,158.4,61.79,31.74,970
12/20/2014,165.9,60.34,31.98,980
12/27/2014,164.5,59.07,31.79,980
12/31/2014,168.9,56.21,31.54,980
1/3/2015,171,55.76,31.4,980
1/10/2015,166,50.11,31.55,775
1/17/2015,160,50.17,31.54,700
1/24/2015,167.5,48.79,31.61,680
1/31/2015,169,52.99,31.57,650
2/7/2015,178.5,57.8,31.49,670
2/14/2015,185.3,61.52,31.62,680
2/21/2015,182,60.53,31.61,690
2/28/2015,183.5,62.58,31.41,730
3/7/2015,172.2,59.73,31.36,850
3/14/2015,171.5,54.67,31.21,880
3/21/2015,171.3,55.32,31.27,870
3/28/2015,171.1,56.41,31.11,870
4/4/2015,171.7,56.24,30.78,870
4/11/2015,165.3,56.89,30.77,1000
4/18/2015,166.5,63.12,30.73,1065
4/25/2015,172.2,64.14,30.62,1080
5/2/2015,179,66.22,30.73,1120
5/9/2015,183.7,66.86,30.98,1115
5/16/2015,182.3,67.06,31.22,1110
5/23/2015,182,66.13,31.2,1130
5/30/2015,190,62.13,31.04,1160
6/6/2015,187.2,62.75,31.12,1230
6/13/2015,184.9,65.17,31.19,1390
6/20/2015,182,64.35,31.27,1390
6/27/2015,175.2,63.26,31.41,1410
7/4/2015,170.7,62.63,31.53,1380
7/11/2015,164,58.49,31,1245
7/18/2015,165.5,57.43,31.31,1245
7/25/2015,162.5,55.89,31.53,1070
8/1/2015,158,53.72,31.7,960
8/8/2015,155,49.32,31.77,960
8/15/2015,145.7,49.52,32.36,920
8/22/2015,140.1,46.78,32.87,915
8/29/2015,129.6,45.78,32.77,890
9/5/2015,126.7,50.95,32.83,910
9/12/2015,133,48.11,32.71,955
9/19/2015,133,49.17,32.66,950
9/26/2015,130.5,47.96,33.29,950
10/3/2015,132,48.7,33.15,895
10/10/2015,134,52.4,32.56,895
10/17/2015,133.3,49.33,32.41,770
10/24/2015,128.7,48.2,32.51,785
10/31/2015,124,48.83,32.8,785
11/7/2015,122.3,48.47,32.73,780
